지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
101,2017-01-01,-.4,-4.6,441,3.2,1449,,,,,,,2.1,360,2400,1.3,340,2351,.5,457,-1.4,72,1402,93.3,5.5,1019.1,1032.2,948,1025.4,2358,1028.9,9.6,1.6,1300,1.13,4.07,,,,,,,,-.5,-11,0,0,.9,1.8,3.2,7.4,10.5,15.5,17.2,.4,.6,.2,
101,2017-01-02,2.8,-.9,2346,8.7,1538,,,,,,.2,6.4,230,1838,3.5,230,1800,1,882,.7,57,1614,87.9,6.5,1012.9,1025.4,1,1020,1433,1022.5,9.6,3.2,1200,1.15,4.98,,,,,,,,.6,-7.5,.1,.2,.9,1.8,3.2,7.3,10.5,15.4,17.2,.7,.9,,
101,2017-01-03,.6,-4.3,619,7.4,1506,,,,,,,7.8,230,1622,4.2,230,1624,1.2,1005,-3.8,32,1458,78.3,4.7,1014.3,1026.4,953,1021.9,1614,1024,9.6,5.1,1200,1.58,6.97,,,,,,,,0,-10,.1,.2,.9,1.7,3,7.1,10.3,15.3,17.1,1,1.5,,
101,2017-01-04,1,-3.6,809,9.2,1543,,,,,,,3.7,140,17,2,360,100,.7,581,-2.7,36,1445,79,5,1014.6,1026.2,2330,1022.1,1503,1024.3,9.6,7.6,1200,1.56,8.62,,,,,,,,.3,-9.6,.2,.2,1,1.8,2.9,7,10.2,15.2,17,.9,1.3,,
101,2017-01-05,2.1,-3.5,308,7.4,1516,,,,,,,6.9,20,1721,3.4,50,1631,1.8,1529,-2.4,52,1407,73.9,5.1,1019.5,1030.8,2046,1026.1,1,1029.1,9.7,.8,1100,.91,5.39,,,,,,,,-.2,-10.3,.2,.2,1,1.8,2.9,6.9,10.1,15.1,17.1,.9,1.3,,
101,2017-01-06,3.1,-1.2,2345,10.6,1540,,,,,,,4.3,20,29,2.5,340,38,.9,735,-.9,42,1557,77.4,5.7,1017.9,1030.3,1,1024.7,1559,1027.6,9.7,7.9,1200,1.67,9.3,,,,,,,,1.2,-8.4,.4,.6,1.1,1.8,2.9,6.8,10,15.1,17.1,1.1,1.5,,
101,2017-01-07,.8,-3.2,454,7.4,1521,,,,,,,3.5,160,1206,2,140,1220,.8,658,-1,55,1526,89.1,5.7,1013.1,1026.4,904,1019.4,1704,1022.8,9.7,4.2,1300,1.57,6.46,,,,,,,,.6,-9.2,.4,.5,1.2,1.9,3,6.7,9.9,15,17,.7,1,,
101,2017-01-08,5.1,-.7,1,10.9,1417,,,,,,0,4.5,340,630,2.4,340,1226,1,829,1.3,52,1417,78.4,6.8,1005.4,1021,1,1011.5,1843,1014.8,9.7,3.9,1200,1.24,6.43,,,,,,,,2.3,-6,1.3,1.4,1.5,2,3,6.7,9.8,14.9,17,1.1,1.5,0,
101,2017-01-09,3.4,-3.5,2358,6.5,1420,,,,,,,9.4,230,1239,5.1,230,1239,2.3,1986,-4,44,1505,59.8,4.6,1006.5,1019.7,2321,1011.4,33,1016,9.7,6.7,1200,1.64,8.47,,,,,,,,3,-10.2,2.8,2.7,2.7,2.8,3.5,6.7,9.8,14.9,17,1.2,1.8,,
101,2017-01-10,-2.7,-7.1,819,3.1,1432,,,,,,,9.9,250,1238,5,250,1239,2,1760,-12,18,1948,54,2.6,1013.1,1026.4,2356,1019.6,10,1022.9,9.7,8,1300,1.66,10.16,,,,,,,,-.3,-12.5,.7,.8,1.9,2.7,3.7,6.6,9.5,14.7,16.9,1.5,2.1,,
